product,scenario,region,year,value
Ammonia,NZ+Circular,Global,2020,185.0
Ammonia,NZ+Circular,North America,2020,20.7
Ammonia,NZ+Circular,Latin America,2020,14.7
Ammonia,NZ+Circular,Africa,2020,10.1
Ammonia,NZ+Circular,Middle East,2020,7.7
Ammonia,NZ+Circular,Russia,2020,5.8
Ammonia,NZ+Circular,Europe,2020,27.2
Ammonia,NZ+Circular,China,2020,19.6
Ammonia,NZ+Circular,India,2020,24.3
Ammonia,NZ+Circular,Rest of Asia,2020,52.0
Ammonia,NZ+Circular,Oceania,2020,3.0
Ammonia,NZ+Circular,Global,2021,187.4
Ammonia,NZ+Circular,North America,2021,20.9
Ammonia,NZ+Circular,Latin America,2021,14.9
Ammonia,NZ+Circular,Africa,2021,10.7
Ammonia,NZ+Circular,Middle East,2021,7.8
Ammonia,NZ+Circular,Russia,2021,5.8
Ammonia,NZ+Circular,Europe,2021,27.3
Ammonia,NZ+Circular,China,2021,19.6
Ammonia,NZ+Circular,India,2021,24.9
Ammonia,NZ+Circular,Rest of Asia,2021,52.5
Ammonia,NZ+Circular,Oceania,2021,3.0
Ammonia,NZ+Circular,Global,2022,198.3
Ammonia,NZ+Circular,North America,2022,21.1
Ammonia,NZ+Circular,Latin America,2022,15.1
Ammonia,NZ+Circular,Africa,2022,11.3
Ammonia,NZ+Circular,Middle East,2022,7.9
Ammonia,NZ+Circular,Russia,2022,5.8
Ammonia,NZ+Circular,Europe,2022,32.9
Ammonia,NZ+Circular,China,2022,19.6
Ammonia,NZ+Circular,India,2022,25.5
Ammonia,NZ+Circular,Rest of Asia,2022,56.1
Ammonia,NZ+Circular,Oceania,2022,3.0
Ammonia,NZ+Circular,Global,2023,203.0
Ammonia,NZ+Circular,North America,2023,21.2
Ammonia,NZ+Circular,Latin America,2023,15.3
Ammonia,NZ+Circular,Africa,2023,12.0
Ammonia,NZ+Circular,Middle East,2023,8.0
Ammonia,NZ+Circular,Russia,2023,5.9
Ammonia,NZ+Circular,Europe,2023,34.5
Ammonia,NZ+Circular,China,2023,19.7
Ammonia,NZ+Circular,India,2023,26.1
Ammonia,NZ+Circular,Rest of Asia,2023,57.4
Ammonia,NZ+Circular,Oceania,2023,3.0
Ammonia,NZ+Circular,Global,2024,208.3
Ammonia,NZ+Circular,North America,2024,21.4
Ammonia,NZ+Circular,Latin America,2024,15.5
Ammonia,NZ+Circular,Africa,2024,12.6
Ammonia,NZ+Circular,Middle East,2024,8.1
Ammonia,NZ+Circular,Russia,2024,5.9
Ammonia,NZ+Circular,Europe,2024,36.4
Ammonia,NZ+Circular,China,2024,19.7
Ammonia,NZ+Circular,India,2024,26.7
Ammonia,NZ+Circular,Rest of Asia,2024,58.9
Ammonia,NZ+Circular,Oceania,2024,3.0
Ammonia,NZ+Circular,Global,2025,223.3
Ammonia,NZ+Circular,North America,2025,22.6
Ammonia,NZ+Circular,Latin America,2025,16.0
Ammonia,NZ+Circular,Africa,2025,13.6
Ammonia,NZ+Circular,Middle East,2025,8.9
Ammonia,NZ+Circular,Russia,2025,6.0
Ammonia,NZ+Circular,Europe,2025,40.5
Ammonia,NZ+Circular,China,2025,20.4
Ammonia,NZ+Circular,India,2025,27.3
Ammonia,NZ+Circular,Rest of Asia,2025,64.9
Ammonia,NZ+Circular,Oceania,2025,2.9
Ammonia,NZ+Circular,Global,2026,233.3
Ammonia,NZ+Circular,North America,2026,23.1
Ammonia,NZ+Circular,Latin America,2026,16.4
Ammonia,NZ+Circular,Africa,2026,14.3
Ammonia,NZ+Circular,Middle East,2026,9.2
Ammonia,NZ+Circular,Russia,2026,6.1
