product,technology,year,region,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream
Aluminum,Carbon Anode + PPA+Grid,2020,China - North,2.74,,7.25,,
Aluminum,Carbon Anode + Grid,2020,China - North,2.74,,14.49,,
Aluminum,Carbon Anode + Coal,2020,China - North,16.03,,0.00,,
Aluminum,Carbon Anode + Natural gas,2020,China - North,10.05,,0.00,,
Aluminum,Carbon Anode + Coal+CCS,2020,China - North,4.07,,0.00,,
Aluminum,Carbon Anode + Natural Gas+CCS,2020,China - North,3.47,,0.00,,
Aluminum,Carbon Anode + Hydro,2020,China - North,2.74,,0.00,,
Aluminum,Carbon Anode + Small Modular Reactor,2020,China - North,2.74,,0.00,,
Aluminum,Carbon Anode+CCS + PPA+Grid,2020,China - North,3.20,,7.25,,
Aluminum,Carbon Anode+CCS + Grid,2020,China - North,3.20,,14.49,,
Aluminum,Carbon Anode+CCS + Coal,2020,China - North,16.49,,0.00,,
Aluminum,Carbon Anode+CCS + Natural gas,2020,China - North,10.51,,0.00,,
Aluminum,Carbon Anode+CCS + Coal+CCS,2020,China - North,4.53,,0.00,,
Aluminum,Carbon Anode+CCS + Natural Gas+CCS,2020,China - North,3.93,,0.00,,
Aluminum,Carbon Anode+CCS + Hydro,2020,China - North,3.20,,0.00,,
Aluminum,Carbon Anode+CCS + Small Modular Reactor,2020,China - North,3.20,,0.00,,
Aluminum,Inert Anode + PPA+Grid,2020,China - North,2.74,,7.25,,
Aluminum,Inert Anode + Grid,2020,China - North,2.74,,14.49,,
Aluminum,Inert Anode + Coal,2020,China - North,16.03,,0.00,,
Aluminum,Inert Anode + Natural gas,2020,China - North,10.05,,0.00,,
Aluminum,Inert Anode + Coal+CCS,2020,China - North,4.07,,0.00,,
Aluminum,Inert Anode + Natural Gas+CCS,2020,China - North,3.47,,0.00,,
Aluminum,Inert Anode + Hydro,2020,China - North,2.74,,0.00,,
Aluminum,Inert Anode + Small Modular Reactor,2020,China - North,2.74,,0.00,,
Aluminum,Carbon Anode + PPA+Grid,2020,China - North West,2.74,,5.62,,
Aluminum,Carbon Anode + Grid,2020,China - North West,2.74,,11.24,,
Aluminum,Carbon Anode + Coal,2020,China - North West,16.03,,0.00,,
Aluminum,Carbon Anode + Natural gas,2020,China - North West,10.05,,0.00,,
Aluminum,Carbon Anode + Coal+CCS,2020,China - North West,4.07,,0.00,,
Aluminum,Carbon Anode + Natural Gas+CCS,2020,China - North West,3.47,,0.00,,
Aluminum,Carbon Anode + Hydro,2020,China - North West,2.74,,0.00,,
Aluminum,Carbon Anode + Small Modular Reactor,2020,China - North West,2.74,,0.00,,
Aluminum,Carbon Anode+CCS + PPA+Grid,2020,China - North West,3.20,,5.62,,
Aluminum,Carbon Anode+CCS + Grid,2020,China - North West,3.20,,11.24,,
Aluminum,Carbon Anode+CCS + Coal,2020,China - North West,16.49,,0.00,,
Aluminum,Carbon Anode+CCS + Natural gas,2020,China - North West,10.51,,0.00,,
Aluminum,Carbon Anode+CCS + Coal+CCS,2020,China - North West,4.53,,0.00,,
Aluminum,Carbon Anode+CCS + Natural Gas+CCS,2020,China - North West,3.93,,0.00,,
