product,technology,year,region,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream
Aluminium,Carbon Anode + PPA+Grid,2020,China - North,2.092707548,,10.35042363,,
Aluminium,Carbon Anode + Grid,2020,China - North,2.092707548,,10.35042363,,
Aluminium,Carbon Anode + Coal,2020,China - North,16.51594025,,0,,
Aluminium,Carbon Anode + Natural Gas,2020,China - North,8.964858777,,0,,
Aluminium,Carbon Anode + Coal+CCS,2020,China - North,3.535030818,,0,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,China - North,2.779922671,,0,,
Aluminium,Carbon Anode + Hydro,2020,China - North,2.092707548,,0,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,China - North,2.092707548,,0,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,China - North,1.135485652,,10.35042363,,
Aluminium,Carbon Anode+CCS + Grid,2020,China - North,1.135485652,,10.35042363,,
Aluminium,Carbon Anode+CCS + Coal,2020,China - North,15.55871835,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,China - North,8.007636881,,0,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,China - North,2.577808922,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,China - North,1.822700775,,0,,
Aluminium,Carbon Anode+CCS + Hydro,2020,China - North,1.135485652,,0,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,China - North,1.135485652,,0,,
Aluminium,Inert Anode + PPA+Grid,2020,China - North,0.062707548,,10.35042363,,
Aluminium,Inert Anode + Grid,2020,China - North,0.062707548,,10.35042363,,
Aluminium,Inert Anode + Coal,2020,China - North,14.48594025,,0,,
Aluminium,Inert Anode + Natural Gas,2020,China - North,6.934858777,,0,,
Aluminium,Inert Anode + Coal+CCS,2020,China - North,1.505030818,,0,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,China - North,0.749922671,,0,,
Aluminium,Inert Anode + Hydro,2020,China - North,0.062707548,,0,,
Aluminium,Inert Anode + Small Modular Reactor,2020,China - North,0.062707548,,0,,
Aluminium,Carbon Anode + PPA+Grid,2020,China - North West,2.092707548,,8.028833287,,
Aluminium,Carbon Anode + Grid,2020,China - North West,2.092707548,,8.028833287,,
Aluminium,Carbon Anode + Coal,2020,China - North West,16.51594025,,0,,
Aluminium,Carbon Anode + Natural Gas,2020,China - North West,8.964858777,,0,,
Aluminium,Carbon Anode + Coal+CCS,2020,China - North West,3.535030818,,0,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,China - North West,2.779922671,,0,,
Aluminium,Carbon Anode + Hydro,2020,China - North West,2.092707548,,0,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,China - North West,2.092707548,,0,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,China - North West,1.135485652,,8.028833287,,
Aluminium,Carbon Anode+CCS + Grid,2020,China - North West,1.135485652,,8.028833287,,
Aluminium,Carbon Anode+CCS + Coal,2020,China - North West,15.55871835,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,China - North West,8.007636881,,0,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,China - North West,2.577808922,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,China - North West,1.822700775,,0,,
Aluminium,Carbon Anode+CCS + Hydro,2020,China - North West,1.135485652,,0,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,China - North West,1.135485652,,0,,
Aluminium,Inert Anode + PPA+Grid,2020,China - North West,0.062707548,,8.028833287,,
Aluminium,Inert Anode + Grid,2020,China - North West,0.062707548,,8.028833287,,
Aluminium,Inert Anode + Coal,2020,China - North West,14.48594025,,0,,
Aluminium,Inert Anode + Natural Gas,2020,China - North West,6.934858777,,0,,
Aluminium,Inert Anode + Coal+CCS,2020,China - North West,1.505030818,,0,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,China - North West,0.749922671,,0,,
Aluminium,Inert Anode + Hydro,2020,China - North West,0.062707548,,0,,
Aluminium,Inert Anode + Small Modular Reactor,2020,China - North West,0.062707548,,0,,
Aluminium,Carbon Anode + PPA+Grid,2020,China - North East,2.092707548,,11.51121881,,
Aluminium,Carbon Anode + Grid,2020,China - North East,2.092707548,,11.51121881,,
Aluminium,Carbon Anode + Coal,2020,China - North East,16.51594025,,0,,
Aluminium,Carbon Anode + Natural Gas,2020,China - North East,8.964858777,,0,,
Aluminium,Carbon Anode + Coal+CCS,2020,China - North East,3.535030818,,0,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,China - North East,2.779922671,,0,,
Aluminium,Carbon Anode + Hydro,2020,China - North East,2.092707548,,0,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,China - North East,2.092707548,,0,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,China - North East,1.135485652,,11.51121881,,
Aluminium,Carbon Anode+CCS + Grid,2020,China - North East,1.135485652,,11.51121881,,
Aluminium,Carbon Anode+CCS + Coal,2020,China - North East,15.55871835,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,China - North East,8.007636881,,0,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,China - North East,2.577808922,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,China - North East,1.822700775,,0,,
Aluminium,Carbon Anode+CCS + Hydro,2020,China - North East,1.135485652,,0,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,China - North East,1.135485652,,0,,
Aluminium,Inert Anode + PPA+Grid,2020,China - North East,0.062707548,,11.51121881,,
Aluminium,Inert Anode + Grid,2020,China - North East,0.062707548,,11.51121881,,
Aluminium,Inert Anode + Coal,2020,China - North East,14.48594025,,0,,
Aluminium,Inert Anode + Natural Gas,2020,China - North East,6.934858777,,0,,
Aluminium,Inert Anode + Coal+CCS,2020,China - North East,1.505030818,,0,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,China - North East,0.749922671,,0,,
Aluminium,Inert Anode + Hydro,2020,China - North East,0.062707548,,0,,
Aluminium,Inert Anode + Small Modular Reactor,2020,China - North East,0.062707548,,0,,
Aluminium,Carbon Anode + PPA+Grid,2020,China - Central,2.092707548,,5.417044145,,
Aluminium,Carbon Anode + Grid,2020,China - Central,2.092707548,,5.417044145,,
Aluminium,Carbon Anode + Coal,2020,China - Central,16.51594025,,0,,
Aluminium,Carbon Anode + Natural Gas,2020,China - Central,8.964858777,,0,,
Aluminium,Carbon Anode + Coal+CCS,2020,China - Central,3.535030818,,0,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,China - Central,2.779922671,,0,,
Aluminium,Carbon Anode + Hydro,2020,China - Central,2.092707548,,0,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,China - Central,2.092707548,,0,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,China - Central,1.135485652,,5.417044145,,
Aluminium,Carbon Anode+CCS + Grid,2020,China - Central,1.135485652,,5.417044145,,
Aluminium,Carbon Anode+CCS + Coal,2020,China - Central,15.55871835,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,China - Central,8.007636881,,0,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,China - Central,2.577808922,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,China - Central,1.822700775,,0,,
Aluminium,Carbon Anode+CCS + Hydro,2020,China - Central,1.135485652,,0,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,China - Central,1.135485652,,0,,
Aluminium,Inert Anode + PPA+Grid,2020,China - Central,0.062707548,,5.417044145,,
Aluminium,Inert Anode + Grid,2020,China - Central,0.062707548,,5.417044145,,
Aluminium,Inert Anode + Coal,2020,China - Central,14.48594025,,0,,
Aluminium,Inert Anode + Natural Gas,2020,China - Central,6.934858777,,0,,
Aluminium,Inert Anode + Coal+CCS,2020,China - Central,1.505030818,,0,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,China - Central,0.749922671,,0,,
Aluminium,Inert Anode + Hydro,2020,China - Central,0.062707548,,0,,
Aluminium,Inert Anode + Small Modular Reactor,2020,China - Central,0.062707548,,0,,
Aluminium,Carbon Anode + PPA+Grid,2020,China - South,2.092707548,,5.900708801,,
Aluminium,Carbon Anode + Grid,2020,China - South,2.092707548,,5.900708801,,
Aluminium,Carbon Anode + Coal,2020,China - South,16.51594025,,0,,
Aluminium,Carbon Anode + Natural Gas,2020,China - South,8.964858777,,0,,
Aluminium,Carbon Anode + Coal+CCS,2020,China - South,3.535030818,,0,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,China - South,2.779922671,,0,,
Aluminium,Carbon Anode + Hydro,2020,China - South,2.092707548,,0,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,China - South,2.092707548,,0,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,China - South,1.135485652,,5.900708801,,
Aluminium,Carbon Anode+CCS + Grid,2020,China - South,1.135485652,,5.900708801,,
Aluminium,Carbon Anode+CCS + Coal,2020,China - South,15.55871835,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,China - South,8.007636881,,0,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,China - South,2.577808922,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,China - South,1.822700775,,0,,
Aluminium,Carbon Anode+CCS + Hydro,2020,China - South,1.135485652,,0,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,China - South,1.135485652,,0,,
Aluminium,Inert Anode + PPA+Grid,2020,China - South,0.062707548,,5.900708801,,
Aluminium,Inert Anode + Grid,2020,China - South,0.062707548,,5.900708801,,
Aluminium,Inert Anode + Coal,2020,China - South,14.48594025,,0,,
Aluminium,Inert Anode + Natural Gas,2020,China - South,6.934858777,,0,,
Aluminium,Inert Anode + Coal+CCS,2020,China - South,1.505030818,,0,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,China - South,0.749922671,,0,,
Aluminium,Inert Anode + Hydro,2020,China - South,0.062707548,,0,,
Aluminium,Inert Anode + Small Modular Reactor,2020,China - South,0.062707548,,0,,
Aluminium,Carbon Anode + PPA+Grid,2020,China - East,2.092707548,,8.028833287,,
Aluminium,Carbon Anode + Grid,2020,China - East,2.092707548,,8.028833287,,
Aluminium,Carbon Anode + Coal,2020,China - East,16.51594025,,0,,
Aluminium,Carbon Anode + Natural Gas,2020,China - East,8.964858777,,0,,
Aluminium,Carbon Anode + Coal+CCS,2020,China - East,3.535030818,,0,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,China - East,2.779922671,,0,,
Aluminium,Carbon Anode + Hydro,2020,China - East,2.092707548,,0,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,China - East,2.092707548,,0,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,China - East,1.135485652,,8.028833287,,
Aluminium,Carbon Anode+CCS + Grid,2020,China - East,1.135485652,,8.028833287,,
Aluminium,Carbon Anode+CCS + Coal,2020,China - East,15.55871835,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,China - East,8.007636881,,0,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,China - East,2.577808922,,0,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,China - East,1.822700775,,0,,
Aluminium,Carbon Anode+CCS + Hydro,2020,China - East,1.135485652,,0,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,China - East,1.135485652,,0,,
Aluminium,Inert Anode + PPA+Grid,2020,China - East,0.062707548,,8.028833287,,
Aluminium,Inert Anode + Grid,2020,China - East,0.062707548,,8.028833287,,
Aluminium,Inert Anode + Coal,2020,China - East,14.48594025,,0,,
