product,scenario,region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ammonia,NZ+Circular,Global,185,187.4,198.3,203,208.3,223.3,233.3,255.3,281.6,309.4,337.7,388.3,433.3,485.1,537.1,588.4,642.4,702,754.3,814.6,879.7,943.7,1006.8,1015.8,1017.8,1019.8,1020.7,1039.3,1057.1,1078.4,1093.6
Ammonia,NZ+Circular,North America,20.7,20.9,21.1,21.2,21.4,22.6,23.1,24.8,26.9,29,31.1,35.3,38.9,43.1,47.3,51.5,56,61.2,65.8,71.3,77.4,83.5,89.5,89.9,89.6,89.3,89,90.6,92.2,94.1,95.5
Ammonia,NZ+Circular,Latin America,14.7,14.9,15.1,15.3,15.5,16,16.4,17.1,17.9,18.8,19.7,20.9,21.8,23,24.2,25.4,26.6,28.2,29.5,31.1,32.9,34.9,36.9,36.9,36.7,36.5,36.3,36.7,37.2,37.7,38.1
Ammonia,NZ+Circular,Africa,10.1,10.7,11.3,12,12.6,13.6,14.3,15.5,16.8,18.2,19.5,21.5,23.3,25.3,27.3,29.3,31.4,33.8,35.9,38.3,41,43.6,46.3,46.8,47.2,47.5,47.8,48.9,49.9,51,51.9
Ammonia,NZ+Circular,Middle East,7.7,7.8,7.9,8,8.1,8.9,9.2,10.3,11.7,13.2,14.6,17.5,20,22.9,25.8,28.7,31.8,35.4,38.6,42.4,46.6,50.8,54.9,55.2,55,54.8,54.5,55.7,56.7,58.1,59
Ammonia,NZ+Circular,Russia,5.8,5.8,5.8,5.9,5.9,6,6.1,6.3,6.5,6.7,6.9,7.3,7.6,7.9,8.3,8.7,9,9.5,9.9,10.4,10.9,11.4,11.9,12,11.9,11.9,11.9,12,12.1,12.3,12.4
Ammonia,NZ+Circular,Europe,27.2,27.3,32.9,34.5,36.4,40.5,44,50.1,57.5,65.6,74.3,87.1,99.4,113,126.8,140.4,154.3,168.9,181.6,195.4,209.6,223.1,236,238.7,239.7,240.5,240.9,244.4,247.6,251.3,253.8
Ammonia,NZ+Circular,China,19.6,19.6,19.6,19.7,19.7,20.4,20.7,21.9,23.3,24.8,26.2,29.2,31.7,34.7,37.8,40.7,44,47.7,50.9,54.9,59.3,63.7,68.1,68.3,68,67.8,67.5,68.6,69.7,71.1,72
Ammonia,NZ+Circular,India,24.3,24.9,25.5,26.1,26.7,27.3,27.9,28.6,29.2,29.8,30.4,30.6,30.8,31.1,31.3,31.5,31.8,32,32.2,32.5,32.7,32.8,32.9,33,33.1,33.2,33.3,33.4,33.5,33.6,33.7
Ammonia,NZ+Circular,Rest of Asia,52,52.5,56.1,57.4,58.9,64.9,68.5,77.7,88.8,100.5,112.3,136,156.9,181.1,205.3,229.2,254.4,282.3,306.9,335.4,366.3,396.9,427.1,432,433.6,435.2,436.4,446,455.2,466.1,474.2
Ammonia,NZ+Circular,Oceania,3,3,3,3,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3,3,3,3,3,3,3,3,3,3,3.1,3.1,3.1,3.1,3.1,3.1,3.1
Ammonium nitrate,NZ+Circular,Global, 13.9 , 14.3 , 14.7 , 15.3 , 15.1 , 15.5 , 15.5 , 15.5 , 15.8 , 16.2 , 16.4 , 16.7 , 17.0 , 17.2 , 17.5 , 17.8 , 18.1 , 18.3 , 18.6 , 18.8 , 19.0 , 19.3 , 19.5 , 19.7 , 19.9 , 20.1 , 20.3 , 20.5 , 20.6 , 20.8 , 20.9 
Ammonium nitrate,NZ+Circular,North America, 1.2 , 1.2 , 1.2 , 1.3 , 1.3 , 1.3 , 1.4 , 1.4 , 1.5 , 1.6 , 1.6 , 1.6 , 1.6 , 1.7 , 1.7 , 1.7 , 1.7 , 1.7 , 1.7 , 1.7 , 1.8 , 1.8 , 1.8 , 1.8 , 1.8 , 1.8 , 1.8 , 1.8 , 1.8 , 1.8 , 1.8 
